http://www.onlamp.com/pub/a/python/2005/12/15/profiling.html?page=1

from hotshot import stats

s = stats.load("hotshot_stats")


>>> s.sort_stats("time").print_stats()
         602650 function calls (602618 primitive calls) in 2.997 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      700    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uturtle.py:280(ifExporting_end3DObject)
      700    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uturtle.py:166(setForeColorBackColor)
      856    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uturtle.py:262(ifExporting_endStemSegment)
      856    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uturtle.py:258(ifExporting_startStemSegment)
      900    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/umath.py:216(safediv)
      700    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/usupport.py:516(support_rgb)
      700    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uturtle.py:252(ifExporting_exclude3DObject)
      244    0.001    0.000    2.983    0.012 /home/pdf/workspace/OLPC/utravers.py:200(traverseWholePlant)
        1    0.001    0.001    0.784    0.784 /home/pdf/workspace/OLPC/viewer.py:185(_grow)
     2200    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uleaf.py:152(checkIfHasAbscissed)
      274    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uplant.py:2266(amendmentForPartID)
      220    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uleaf.py:264(wiltLeaf)
      274    0.001    0.000    0.002    0.000 /home/pdf/workspace/OLPC/upart.py:386(determineAmendmentAndAlsoForChildrenIfAny)
       24    0.001    0.000    1.085    0.045 /home/pdf/workspace/OLPC/uintern.py:369(draw)
      100    0.001    0.000    0.376    0.004 /home/pdf/workspace/OLPC/uplant.py:2211(allocateOrRemoveParticularBiomass)
       24    0.001    0.000    0.015    0.001 /home/pdf/workspace/OLPC/uintern.py:400(drawInternode)
      700    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/usupport.py:668(GetGValue)
      102    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/utravers.py:139(__init__)
       24    0.000    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uintern.py:99(determineAmendmentAndAlsoForChildrenIfAny)
      336    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/upart.py:215(genderString)
      700    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/usupport.py:665(GetRValue)
      700    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/usupport.py:671(GetBValue)
       32    0.000    0.000    0.869    0.027 /home/pdf/workspace/OLPC/uinflor.py:426(drawAxillaryBud)
        2    0.000    0.000    2.213    1.106 /home/pdf/workspace/OLPC/viewer.py:74(testPlant)
      240    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/conversion_common.py:249(__init__)
        8    0.000    0.000    1.118    0.140 /home/pdf/workspace/OLPC/uinflor.py:267(draw)
      256    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uturtle.py:230(ifExporting_startNestedGroupOfPlantParts)
      256    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uturtle.py:234(ifExporting_endNestedGroupOfPlantParts)
        1    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/ucursor.py:34(cursor_startWait)
        8    0.000    0.000    0.005    0.001 /home/pdf/workspace/OLPC/uinflor.py:401(drawPeduncle)
        1    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/ucursor.py:47(cursor_stopWait)
      176    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/conversion_common.py:81(odd)
        2    0.000    0.000    0.004    0.002 /home/pdf/workspace/OLPC/uturtle.py:123(reset)
      160    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uturtle.py:238(ifExporting_startPlantPart)
      160    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uturtle.py:242(ifExporting_endPlantPart)
      200    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uplant.py:322(cancelOutOppositeAmounts)
       76    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/upart.py:546(calculateColors)
      160    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/upart.py:408(applyAmendmentRotations)
        8    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uinflor.py:42(determineAmendmentAndAlsoForChildrenIfAny)
